name,positions,overall,potential,value_eur,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
S. de Vrij,DF,85,85,45000000,189,78,Right,72,41,64,70,87,79,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,59,59,59,61,62,62,62,61,65,65,65,64,71,71,71,64,77,81,81,81,77,79,84,84,84,79,19
Roberto Firmino,FW,85,85,54000000,181,76,Right,77,78,79,89,59,78,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,81,81,81,83,83,83,83,83,84,84,84,83,82,82,82,83,72,72,72,72,72,69,67,67,67,69,17
M. Depay,FW,85,86,63000000,176,78,Right,82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,82,82,82,84,84,84,84,84,83,83,83,83,77,77,77,83,61,59,59,59,61,56,49,49,49,56,19
Carvajal,DF,85,85,47500000,173,73,Right,80,54,78,80,81,80,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,71,71,71,76,74,74,74,76,76,76,76,78,78,78,78,78,83,81,81,81,83,82,80,80,80,82,20
Jorginho,MF,85,85,52500000,180,68,Right,55,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,70,70,70,76,76,76,76,76,80,80,80,78,84,84,84,78,78,82,82,82,78,76,73,73,73,76,19
S. Gnabry,FW,85,86,64500000,176,77,Right,83,84,79,86,43,69,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,80,80,80,84,84,84,84,84,84,84,84,83,78,78,78,83,66,64,64,64,66,62,54,54,54,62,18
S. Milinkovic-Savic,MF,85,87,66000000,191,76,Right,68,79,80,81,79,86,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,81,81,81,79,81,81,81,79,81,81,81,80,84,84,84,80,78,82,82,82,78,78,81,81,81,78,18
W. Ndidi,MF,85,88,66500000,183,74,Right,67,62,69,74,87,83,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,70,70,70,69,71,71,71,69,72,72,72,71,77,77,77,71,79,83,83,83,79,80,84,84,84,80,20
Oyarzabal,MF,85,89,77500000,181,79,Left,82,82,81,84,41,63,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11,79,79,79,84,83,83,83,84,83,83,83,83,77,77,77,83,64,61,61,61,64,60,51,51,51,60,18
L. Martinez,FW,85,89,78000000,174,72,Right,84,81,72,85,48,84,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,84,84,84,81,84,84,84,81,82,82,82,80,77,77,77,80,65,66,66,66,65,63,62,62,62,63,19
M. Rashford,FW,85,89,77500000,186,70,Right,90,84,79,84,43,77,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,83,83,83,84,84,84,84,84,83,83,83,83,77,77,77,83,67,64,64,64,67,63,57,57,57,63,18
A. Hakimi,DF,85,88,69500000,181,73,Right,95,71,78,83,76,78,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8,78,78,78,83,81,81,81,83,80,80,80,83,79,79,79,83,83,79,79,79,83,82,77,77,77,82,17
M. de Ligt,DF,85,90,75000000,189,89,Right,73,59,60,69,84,87,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,68,68,68,64,65,65,65,64,64,64,64,65,67,67,67,65,75,78,78,78,75,78,84,84,84,78,19
